delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela 
PROJEKTNI VODJA,435790,LJUBLJANA,9.0,10.46,"Projektni vodja (Project Manager). V podjetju iščejo nekoga, ki ima visoko raven organizacijskih ter komunikacijskih sposobnosti. Glavne delovne naloge bodo vrednotenje projekta in rezultatov aktivnosti, vzdrževanje projektne dokumentacije, svetovanje in vodenje razvojnih in sistemskih inženirjev, razvoj, dokumentiranje in implementacija tehnoloških standardov, vrednotenje novih tehnologij in priporočanje tistih, ki bi izboljšale stroškovno učinkovitost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
POUČEVANJE,435789,LJUBLJANA,12.05,14.0," V jezikovnem centru iščejo študenta/ki anglistike za izvajanje jezikovnih tečajev. Pogoji: zaključena prva stopnja in predhodne izkušnje s poučevanjem. Vabljeni v mlad tim, vpet v mednarodno okolje, z zanimivimi projekti in poučevanjem v jezikovnem centru in na podjetjih. ",2,PO DOGOVORU,PO DOGOVORU,2. 9. 2024
DELO NA RAČUNALNIKU,435787,LJUBLJANA,6.2,7.21,"Pomoč pri koordinaciji projektov, organizaciji dogodkov in podporo pri administrativnih delih. Delo zajema tudi pisanje in oblikovanje besedil (vabila, objave na socialnih omrežjih). Želijo nekoga, ki razmišlja proaktivno, ima osnovno znanje pisanja besedil in uporabe Microsoft Office orodij, Canve, Wordpress, mailing platform. Nekoga, ki je samoiniciativen, odgovoren in iznajdljiv. Dodatno znanje, kot je oblikovanje, tuji jeziki, uporaba različnih aplikacij, je prednost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ZAHTEVNA ADMINISTRATIVNA DELA,435786,LJUBLJANA,7.31,8.5,"Iščejo študenta/ko za delo v pisarni. Delo obsega vodenje administrativne pisarne, kar zajema administracijo, vodenje pošte, vpisovanje rokov, izdaja računov,. . . Potrebno je dobro znanje angleškega jezika (dodatna prednost znanje nemškega jezika). Kandidat/ka mora biti natančen/na, zanesljiv/a in sposoben/na raznolikih opravil.   Možnost kasnejše zaposlitve. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
SOBAR/ICA,435785,ANKARAN,7.7,8.95,Podjetje išče primerne osebe za čiščenje hotelov in turističnih objektov. ,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
OGLAŠEVALEC NA DRUŽABNIH OMREŽJIH,435784,LJUBLJANA,8.5,9.88,"Iščejo polnoletno osebo, ki bi bila pripravljena nastopati na TikTok vsebinah.   Snemanja potekajo približno enkrat na dva meseca. Za več informacij jih pokliči. ",1,PO DOGOVORU,PO DOGOVORU,30. 8. 2024
SOBAR/ICA,435783,PORTOROŽ,7.7,8.95,Podjetje išče primerne osebe za čiščenje hotelov in turističnih objektov. ,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POUČEVANJE,435781,ONLINE/OD DOMA,9.27,10.77,"Iščejo študenta/ki II. stopnje ustrezne smeri za vodenje tečajev HRVAŠČINE, s pričetkom v mesecu septembru. Pogoj je končan dodiplomski študij ustrezne smeri. Tečaj bi potekali ONLINE (od doma). Zaželene so izkušnje s poučevanjem, odlična odzivnost, samoiniciativa in veselje do dela z ljudmi. Pridruži se njihovi ekipi učiteljev, dinamično delo je zagotovljeno. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
DELO V PROIZVODNJI,435780,LJUBLJANA ČRNUČE,7.14,8.3,V podjetju potrebujejo vestno in zanesljivo osebo za delo in pomoč v proizvodnji. Delovno mesto zajema pomoč pri pakiranju in delu na tekočem traku. Pogoj je dobro znanje slovenskega jezika Interesenti naj pokličejo na kontakt podjetja. ,3,POČITNIŠKO DELO,DOPOLDAN,2. 9. 2024
STREŽBA,435779,LJUBLJANA,10.0,11.62,"Zaposlijo polnoletno, simpatično, izkušeno, hitro in čisto osebo za delo v lakalu med vikendi. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,1. 9. 2024
DELO NA PLAŽI ,435777,IZOLA,6.3,7.32,"Podjetje išče primerni osebi za delo s strankami ter pomoč pri postavljanju in pospravljanju plaže. Delo poteka ob morju (plaža Svetilnik v Izoli), v stimulativnem okolju in z najboljšo ekipo. Delo traja do konca meseca septembra.   Možnost povišanja urne postavke. ",2,DO OKTOBRA 2024,PO DOGOVORU,26. 8. 2024
DELO NA BENCINSKEM SERVISU,435775,SEŽANA,7.0,8.13,Podjetje išče komunikativno osebo z veseljem do dela z gosti za delo na bencinskem servisu. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
POMIVALEC,435774,ORMOŽ,6.2,7.21,"Za delo v kuhinji - pomivanje posode - potrebujejo pomoč vestne, zanesljive osebe. Gre za delo v dopoldanskem času, s pričetkom ob 7. uri. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
DELO V PROIZVODNJI,435773,KRANJ,8.0,9.3,"Podjetje išče študente/ke za delo v proizvodnji tiskanih vezji. Potrebujejo pomoč na oddelku galvanike, na foto oddelku in v vrtalnici. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
DELO V PEKARNI,435772,GROSUPLJE,7.31,8.5,"Lažja pomožna dela pri izdelavi kruha in pekovskega peciva (zlaganje, pakiranje, priprava izdelkov za odpremo v trgovine, čiščenje delovne in transportne opreme). Delo se praviloma opravlja v več izmenah (dopoldan, popoldan in tudi v nočnem času, če ste starejši od 18 let), po dogovoru. Pogoj: polnoletnost in osnovno znanje slovenščine. Plačilo za delo v nočni izmeni ali delo v nedeljo znaša 9,5 €/h bruto. Pošljite prijavo z vsemi podatki (telefonska št., starost, mail) in želenim terminom dela. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
DELO V PROIZVODNJI,435771,MEDVODE,7.0,8.13,"Podjetje, ki proizvaja kakovostni papir, išče zanesljivega študenta/ko za lažja dela na oddelku dodelava. Urna postavka je za dopoldansko delo. Za delo popoldan ali ob vikendih je urna postavka višja. Nudijo tudi povračilo stroškov malice. Pošljite prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
POMOČ PRI DELU TEHNOLOGIJE,435770,LJUBLJANA,6.88,8.0,"Farmacevtsko podjetje potrebuje študenta/ki naravoslovne smeri, zadnji letnik dodiplomskega in podiplomskega študija. Glavne naloge: vzdrževanje statusa validiranosti procesov, pomoč tehnologom na različnih področjih sterilne proizvodnje, priprava poročil (natančnost in zanesljivost pri vpisovanju rezultatov), komunikacija med različnimi oddelki, koordiniranje in sodelovanje. Znanje angleškega jezika, računalniška pismenost (Word, Excel, PowerPoint). Delo poteka v dopoldanskem času, po potrebi. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
PRODAJA,435769,KOPER,6.2,7.21,"V kolektiv vabijo komunikativni, resni in odgovorni osebi, ki ju veseli delo s strankami. Delo poteka med tednom in ob sobotah, po potrebi in dogovoru. Prodaja modnih ženskih nogavic, oblačil in kopalk. Pogoj je polnoletnost. Možnost povišanja urne postavke. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
MONTAŽA,435768,OBALNO KRAŠKA REGIJA,coerce,coerce,"Iščejo 2 osebi za pomoč pri montaži klimatskih naprav in pomoč pri montaži toplotnih črpalk. Pričakujejo: pripravljenost na delo na terenu, doslednost, natančnost, zanesljivost, motiviranost in timska naravnanost. Nudijo: priložnost za osebni razvoj in napredovanje v kolektivu, vikendi in prazniki so prosti, možnost kasnejše redne zaposlitve.   ",2,PO DOGOVORU,DOPOLDAN,26. 8. 2024
LAŽJA FIZIČNA DELA,435767,KRŠKO,6.88,8.0,Potrebujejo več oseb (m/ž) za pobiranje lešnikov. Začetek dela je lahko takoj. Kandidati naj pošljejo vlogo na e-naslov oz. za več informacij pokličejo. ,4,PO DOGOVORU - POČITNIŠKO DELO,DOPOLDAN,po dogovoru
DELO NA CNC STROJU,435766,CERKLJE NA GORENJSKEM,7.5,8.72,"Podjetje išče osebi za delo v proizvodnji. Delo obsega: delo na CNC strojih, pakiranje in zlaganje kosov, merjenje kosov, upravljanje strojev. Pogoj: polnoletnost. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,28. 8. 2024
RAZVOJ,435765,MARIBOR,7.74,9.0,"Iščejo samoiniciativno osebo, ki študira računalništvo, informatiko ali elektrotehniko za delo v razvoju in ima željo po novih izzivih, dinamičnem delu in super kolektivu. Osnovni pogoji za delo so poznavanje PHP backend in kombinacija PHP in HTML za frontend, Javascript (uporaba jquery), Mysql. Pošljite prijavo in CV z dopisom Programer (WEB). ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
ELEKTROTEHNIČNA DELA,435764,MARIBOR,7.74,9.0,"Iščejo osebo za pomoč v razvoju elektronskih sklopov. Pričakujejo poznavanje elektronskih komponent, osnove načrtovanja, poznavanje programskega orodja za risanje elektronskih vezij (Altium designer ali podobno). Možnost kasnejše zaposlitve. Pošljite prijavo + CV na elektronski naslov. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
DELO V GALERIJI,435763,LJUBLJANA,6.2,7.21,"Za pomoč v galeriji iščejo študenta/ko umetnostne zgodovine ali likovne akademije, ki jo/ga zanima likovna in vizualna umetnost. Delo je občasno, po potrebi in po dogovoru. Obsega pa sprejem umetnin, fotografiranje, vnos podatkov, delo s strankami, priprava razstav itd. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3. 9. 2024
DELO V TRAFIKI,435762,SEVNICA,6.2,7.21,"V trafiki, ki bi se naj odprla v drugi polovici septembra 2024, potrebujejo polnoletno osebo za pomoč pri prodaji. Pomoč bodo potrebovali po dogovoru oz. večinoma v popoldanskem času. Za več informacij jih pokličite. ",1,PO DOGOVORU,POPOLDAN,15. 9. 2024
STREŽBA,435761,ni znano,8.0,9.3,Podjetje išče izkušeni osebi za delo v hotelski restavraciji (samopostrežni bife) in baru. Pogoj je starost nad 18 let ter znanje slovenskega in angleškega jezika. Obvezne so predhodne izkušnje z delom v baru ali restavraciji ter natančnost in prijaznost.   Po potrebi nudijo nastanitev in prehrano. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,30. 8. 2024
BLAGAJNIK,435760,CELJE,6.88,8.0,"V podjetju potrebujejo polnoletno, natančno, komunikativno, vestno in zanesljivo osebo za delo v trgovini (delo na blagajni, polnjenje polic, pomoč strankam, ipd. ). Delo je izmensko - tudi ob sobotah, vse po dogovoru in potrebi. Interesenti naj pošljejo vlogo na kontakt podjetja. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2024
POUČEVANJE,435759,LJUBLJANA,7.51,8.73,"Izvajanje tehniških dni (zelene tehnologije, trajnostni razvoj) za osnovnošolske otroke. Iščejo študente/ke pedagoške ali tehniških fakultet z željo po poučevanju. Delo poteka po dogovoru glede na časovne zmožnosti. Pričetek dela v septembru. Prosijo, da dopišete še vaše tehnične/pedagoške izkušnje. Pogoj je udeležba na usposabljanju v Ljubljani, ki bo potekalo v sredo, 3. 9. 2024 ob 10. 00. ",6,PO DOGOVORU,DOPOLDAN,9. 9. 2024
PRODAJA,435758,LJUBLJANA CENTER,6.82,7.92,"Za prodajo medenih izdelkov v poslovalnici v Ljubljani iščejo odgovorno in komunikativno osebo. Za uspešno delo je potrebno aktivno znanje vsaj angleškega jezika. Drugi tuj jezik je zaželen. Osnovna bruto urna postavka je 7,92 € + stimulacija ob uspešni prodaji in stimulacija za najboljšega prodajalca. Kasneje je možna tudi redna zaposlitev. V kolikor vas veseli delo s strankami, prilagodljiv urnik in stimulativen zaslužek, vas vabijo k sodelovanju. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
"ZDRAVSTVENA NEGA,SPREMSTVO BOLNIKOV",435757,LJUBLJANA,6.45,7.5,"Potrebujejo polnoletne osebe za spremstvo pacientov. Zaželena je zdravstvena smer izobrazbe in izkušnje (niso pa pogoj). Možnost in njihova želja je daljše, občasno sodelovanje. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
PAKIRANJE,435756,"GORJUŠA, DOB PRI DOMŽALAH",6.2,7.21,"Potrebujejo študenta/študentko za delo v skladišču knjig. Delo obsega pripravo paketov (pakiranje knjig za odpremo na pošto), pospravljanje, razkladanje in nakladanje knjig. Pogoji za delo so starost vsaj 20 let, natančnost, vestnost, zanesljivost in resnost. Zaradi oddaljenosti lokacije dela od javnega prevoza je obvezen lasten prevoz do dela. Delovnik po dogovoru in po potrebi, v dopoldanskem času. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
POMOČ PRI PRODAJI,435755,LJUBLJANA BTC,6.63,7.7,"Za delo v prodaji modnih oblačil iščejo komunikativni in odgovorni osebi, ki radi delata z ljudmi in imata veselje do mode. Delo zajema svetovanje strankam in skrb za urejenost trgovine. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,28. 8. 2024
DELO V SLAŠČIČARNI,435754,LJUBLJANA,8.0,9.3,"V slaščičarni iščejo osebi za delo na blagajni slaščičarne in pekarne, ki bo skrbela za korekten odnos s strankami in za urejenost vitrine (skrb za čistočo in pregled zalog). Vključena je malica. Delo ni teżko. Zaželeno je tekoče znanje slovenskega in angleškega jezika. Zaželeno je znanje o alergenih. Delo poteka med 11. 00 in 19. 00, po potrebi in dogovoru. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,16. 9. 2024
DELO V AMBULANTI,435753,LJUBLJANA,8.5,9.88,"Ambulanta medicine dela v svojo ekipo vabi študentko/študenta zdravstvene ali medicinske smeri. Delo vključuje pomoč pri opravljanju preiskav v medicini dela, prometa in športa, zdravstveno administracijo ter komunikacijo s strankami. Prijave pošljite elektronsko. Več o nas na spletni strani. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
PRIPRAVA HRANE,435752,LJUBLJANA,7.5,8.72,"Iščejo osebo za pomoč pri pripravi sladic, pekovskih izdelkov. Delo zajema tudi skrb za čistočo in pregled zalog. Delo poteka dopoldan, po potrebi in dogovoru. Zaželeno je veselje do dela, izkušnje se pa hitri pridobijo. Če imaš izkušnje pri delu je urna postavka višja. Pogoj je poznavanje alergenov, saj slaščičarna pripravlja izključno brezglutenske sladice, sladice brez mleka in podobno. Prednost imajo osebe s celiakijo in intoleranco na gluten. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
DELO V PROIZVODNJI,435751,KAMNIK,8.17,9.5,Iščejo kandidata/ko za pomoč zaposlenim pri proizvodnji lesene pohištvene opreme. Pošlji prijavo. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
ANIMATOR/KA,435750,LJUBLJANA,7.92,9.2,"Iščejo zanesljivo osebo, ki je nasmejana, rada dela z otroki in bi se rada preizkusila na otroških dogodkih in animacijah. Potrebujejo osebo, ki bi imela čas za občasno delo,  in katera rada dela z otroki in ima na tem področju že izkušnje; z vodenjem, nastopanjem ali animiranjem. Prijave s CV-jem in opisom izkušenj sprejemajo na mail.   Za ostale podatke so dosegljivi po telefonu. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3. 9. 2024
ADMINISTRATIVNA DELA,435749,LJUBLJANA,6.88,8.0,"Farmacevtsko podjetje potrebuje polnoletno osebo ustrezne smeri študija (naravoslovne smer z računalniškimi znanji). Delo bo potekalo v GxP okolju, v multidisciplinarni skupini strokovnjakov za računalniško podprte laboratorijske sisteme, administracija, periodični pregledi in validacija računalniško podprtih laboratorijskih sistemov. Znanje angleškega jezika, dobro poznavanje Windows okolja. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
POBIRANJE SADJA/ZELENJAVE,435748,MOŠNJE,6.2,7.21,"Pomoč pri obiranju sadja in pomoč pri pripravi sadja za prodajo. Delo poteka do vključno 30. oktobra. Delo poteka v naravi, potrebna je primerna obutev in oblačila. Pred pričetkom dela se dijake in študente izobrazi za opravljanje dela in za varno delo v sadovnjaku. ",10,DO 30. 10. 2024,DOPOLDAN,2. 9. 2024
POMOČ PRI PRODAJI PARFUMOV,435747,MARIBOR,6.2,7.21,"Dišeča prodajalna išče okrepitve. V kolikor te veseli delo s parfumi, je to delo kot nalašč zate. Ob urni postavki nudijo tudi stimulacijo, kar je dodatna možnost dobrega zaslužka. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V AMBULANTI,435746,NOVO MESTO,7.0,8.13,"V enoti diagnostičnega centra iščejo primerno osebo za pomožna dela v zdravstvu: pomoč pri sedacijah, pomoč v specialističnih ambulantah, preverjanje prihoda pacientov na preiskave. Delo poteka pretežno dopoldan, med ponedeljkom in petkom, po potrebi in dogovoru. Pogoji: absolvent/ka zdravstvene nege, prijaznost, komunikativnost in zanesljivost. Pošlji prijavo s kratko predstavitvijo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
PAKIRANJE,435745,LESKOVEC PRI KRŠKEM,6.2,7.21,"Ročno pakiranje na računalniško opremljeni mizi, polnjenje in oskrba različnih vrst embalaž, etiketiranje in knjiženje. Delo poteka v dveh izmenah, po potrebi in dogovoru. Dopoldanska s pričetkom ob 6. uri in popoldanska ob 14. uri. Malica je organizirana v podjetju. ",5,PO DOGOVORU,IZMENSKO,26. 8. 2024
POMOČNIK VZGOJITELJA/VZGOJITELJICE,435744,LJUBLJANA,7.0,8.13,"Iščejo odgovorno osebo z veseljem do dela z majhnimi otroki, kot pomoč vzgojiteljici v jaslični in starejši skupini. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
BLAGAJNIK,435743,KOPER,7.6,8.83,Iščejo 2 študenta/ki za delo na blagajni v samopostrežni azijski restavraciji. Potrebno je dobro znanje slovenskega in angleškega jezika ter prijaznost do strank. ,2,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ PRI DOSTAVI,435742,KRŠKO,7.31,8.5,"Si se kdaj vprašal/a, kdo poskrbi, da si po napornih študijskih obveznostih lahko na terasi najljubšega lokala privoščiš enga hladnga? Pridi na ogled njihovega logističnega centra in se preizkusi kot spremljevalec/ka dostavljavcev. Nimaš izpita? Nič zato, naokoli te vozijo oni. Želiš ostati v kondiciji? Urejeno! V podjetju se večkrat pošalijo, da nudijo brezplačen fitnes. Pridi in preveri, nimaš kaj za izgubit, lahko pa pridobiš nova znanstva in izkušnje. ",2,PO DOGOVORU,DOPOLDAN,28. 8. 2024
DELO V KAVARNI,435741,KAMNIK,8.0,9.3,"V prijetni kavarni iščejo osebe za delo v strežbi. Delo zajema strežbo toplih in hladnih napitkov ter skrb za delovno okolje. Delovnik je po dogovoru, glede na razpoložljivost. Izkušnje so obvezne. Glede na izkušnje in pridnost obstaja možnost dogovora o višji urni postavki. Poleg tega je glede na kvaliteto dela možna tudi stimulacija. Obvezno je znanje slovenskega jezika. Vsi zainteresirani pokličite na kontaktno telefonsko številko ali pošljite mail.   ",4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
BLAGAJNIK,435740,LJUBLJANA,7.0,8.13,Za delo na blagajni iščejo študenta/ki z znanjem slovenskega jezika. ,2,PO DOGOVORU,DOPOLDAN,9. 9. 2024
PROGRAMIRANJE,435739,LJUBLJANA OZ. OD DOMA,9.9,11.5,"Iščejo Python razvijalca/ki, ki bosta sodelovala/i pri razvoju platforme povezane z blockchain tehnologijo. Delo zajema implementacijo in vzdrževanje funkcionalnosti. Zaželeno je znanje programiranja v Pythonu, poznavanje uporabe Seleniuma za avtomatizacijo testiranja, MongoDB in FastAPI. Zapisana postavka je začetna in se prilagodi znanju in izkušnjam posameznika/ce - glede na obstoječe znanje se giblje med 11,5 € in 18 € bruto. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
ANIMATOR/KA,435736,DOMŽALE,8.61,10.0,"Iščejo zanesljive, energične in kreativne osebe z izkušnjami na področju varstva otrok, otroškimi animacijami. Praznovanja potekajo med tednom ob 16. 30 in med vikendi, po potrebi in dogovoru. ",4,PO DOGOVORU,POPOLDAN,10. 9. 2024
BLAGAJNIK,435735,KOPER,8.0,9.3,Iščejo osebe za delo na blagajni. Sprejem in izdaja naročil. Obvezno znanje slovenskega jezika. ,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
DELO V KUHINJI,435734,KOPER,8.0,9.3,Iščejo osebe za pomoč pri delu v kuhinji (sestava in izdaja burgerjev). ,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
TEČAJ ANGLEŠČINE,435733,LJUBLJANA,12.0,13.95,"Imaš tekoče znanje angleščine in izkušnje pri delu z otroki? V učnem centru iščejo študenta/ko za poučevanje tečajev angleščine za otroke od 3 mesecev do 19 let po mednarodno priznani metodi Helen Doron English, za daljše sodelovanje. Tečaji potekajo v popoldanskem času (od 16. do 19. 30 ure), dnevi po dogovoru. Nujno potrebno tekoče znanje angleščine. Prednost imajo študenti angleščine 4. letnika in absolventi. Delo se prične v začetku septembra, zato pošlji svoj CV že danes. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
KADROVSKA DELA,435732,LJUBLJANA BRDO,8.0,9.3,"Iščejo študenta/ko kadrovske, upravne ali ekonomske fakultete za administrativna dela. Možnost kasnejše redne zaposlitve. Če imaš ustrezno izobrazbo ali izkušnje, se pridruži njihovi kadrovski službi in začni svojo karierno pot pri njih!",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POMOČ PRI PRODAJI PARFUMOV,435731,MARIBOR,6.3,7.32,"Podjetje išče zanesljivo, prijazno ter komunikativno osebo, ki bi se pridružila kolektivu parfumerije v Mariboru. Obseg dela vsebuje svetovanje oz. pomoč pri prodaji parfumov in kozmetike ter skrb za urejenost in čistočo poslovalnice. Pogoj je starost nad 18 let oz. absolventski staž. Znanje s področja prodaje je zaželeno. Zraven urne postavke pripada še stimulacija. ",1,PO DOGOVORU,IZMENSKO,2. 9. 2024
POMOČ PRI PRODAJI,435730,LJUBLJANA,6.2,7.21,"Podjetje išče študenta/ko za delo v trgovinici - pasja pekarna. Zaželene so izkušnje s prodajo in da je oseba lastnik psa. Pogoji so starost nad 18 let, resnost, zanesljivost in smisel za urejenost prostora. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2024
DELO V PRAVNI PISARNI,435729,LJUBLJANA,7.36,8.55,Zavarovalna podružnica išče študenta/ko višjega letnika dodiplomskega študija pravne smeri ali študenta/ko podiplomskega študija pravne smeri za delo v pravni pisarni. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435728,LJUBLJANA,7.5,8.72,"Delo je v podjetju, ki se ukvarja z personalizacijo plačilnih kartic, ki se širi tudi na druge panoge (umetna inteligenca, marketing. ). Delo je zelo dinamično, v mladem kolektivu in z velikim potencialom za napredek. Iščejo inovativne in samostojne študente/ke, ki so sposobni tudi prevzeti vodenje na projektih. Poleg plačila se izplača tudi stimulacija na uspešnost. ",2,PO DOGOVORU,DOPOLDAN,po dogovoru
DELO NA RECEPCIJI,435727,LJUBLJANA - BEŽIGRAD,7.0,8.13,"Iščejo osebi za delo na recepciji fitnesa. Delo zajema skrb za red in čistočo fitnesa ter garderob. Delo poteka v treh izmenah, med vikendi in prazniki v dveh, vse po potrebi in dogovoru. Začetna urna postavka je 8,13 € bruto + bonus od prometa. Zaželena polnoletnost, znanje angleščine ter aktivni življenjski slog. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
ADMINISTRATIVNA DELA,435726,LJUBLJANA,7.31,8.5,"V enoti Kreditna tveganja iščejo študenta/ko za pripravo različnih poročil in pomoč pri administrativnem delu. K prijavi vabijo osebe, ki dobro poznajo programska orodja MS Office v okolju Windows, aktivno uporabljajo slovenski in angleški jezik,   samoiniciativne, komunikativne, natančne, prilagodljive in željne novega znanja. Prijave sprejemajo do vključno 6. 9.  2024 izključno preko spletnega obrazca. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,16. 9. 2024
ADMINISTRATIVNA DELA,435725,PLANINA,6.2,7.21,"Podjetje potrebuje zanesljivo osebo za pomoč v pisarni. Delo obsega sprejemanje pošte, odgovarjanje na sporočila in ostala administrativna dela. Zaželene so izkušnje in uporaba osebnega računalnika. Pogoja sta polnoletnost in vozniški izpit B kategorije. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
POLNJENJE POLIC,435724,TRBOVLJE,6.88,8.0,Potrebujejo študenta/ko za pomoč pri polnjenju polic. ,1,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ V KUHINJI,435723,MEDVODE,7.31,8.5,"Vodilno podjetje na področju gostinske dejavnosti na slovenskem tržišču išče polnoletno osebo za pomoč v centralni kuhinji na sedežu podjetja. Potrebujejo posameznika/co, ki jo veseli razgibano delo v zanesljivem in referenčnem podjetju. Po uvajalni fazi se urna postavka zviša na 10,50 € bruto. Pričetek dela takoj. Pošlji e-prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ V STREŽBI,435722,LJUBLJANA,10.0,11.62,"Iščejo polnoletno osebo za pomoč v strežbi, pretežno pijač in manjših prigrizkov - športni bar. Delo predvsem popoldne in med vikendi, vse po potrebi in dogovoru. Urna postavka se lahko spremeni po dogovoru. Pogoj je znanje slovenskega jezika. Izkušnje niso nujne. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
DELO S STRANKAMI,435721,LJUBLJANA,7.5,8.72,"V specializirani trgovini iščejo zanesljivi in vestni osebi za pomoč pri prodaji. Delo obsega prodajo, komuniciranje s strankami, skrb za zalogo, telefonske klice ter e-maile. Možnost kasnejše redne zaposlitve ter dodatne stimulacije v obliki darila. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
KMETIJSKA DELA,435720,PTUJ IN OKOLICA - DRAŽENCI,10.18,11.83,"Potrebujejo polnoletne osebe za pomoč pri traktorskih opravilih na poljih, pri spravilu koruze. Delo se opravlja v dveh izmenah in po potrebi med vikendi.   Interesenti potrebujejo izpit za traktor, podjetje nudi tudi stimulacijo glede na uspešnost dela. Delovni čas se prilagaja vremenskim razmeram.   ",6,"PO POTREBI, DO 15. 10. 2024",IZMENSKO,2. 9. 2024
POMOČ V KUHINJI,435719,GOLNIK,9.0,10.46,"Podjetje išče študentko ali študenta za pomoč v kuhinji (lažja kuhinjska dela, pomivanje posode, pomoč pri predpripravi). Dela se po dogovoru. Vabljeni v nasmejan kolektiv . . . z okusom!",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
